"","Year","Month","Country","Rain_fall","Temperature","Date"
"1","1991",1,"AUT",32.4641,-2.0545,"1991-1"
"2","1991",2,"AUT",32.5013,-4.6957,"1991-2"
"3","1991",3,"AUT",58.8299,4.54354,"1991-3"
"4","1991",4,"AUT",51.133,4.71173,"1991-4"
"5","1991",5,"AUT",154.42,7.02555,"1991-5"
"6","1991",6,"AUT",155.191,12.9768,"1991-6"
"7","1991",7,"AUT",179.796,16.8898,"1991-7"
"8","1991",8,"AUT",91.1998,16.333,"1991-8"
"9","1991",9,"AUT",79.891,13.7329,"1991-9"
"10","1991",10,"AUT",52.2473,6.44556,"1991-10"
"11","1991",11,"AUT",132.899,1.71271,"1991-11"
"12","1991",12,"AUT",115.836,-3.4469,"1991-12"
"13","1992",1,"AUT",17.7356,-1.5119,"1992-1"
"14","1992",2,"AUT",53.7392,-0.2337,"1992-2"
"15","1992",3,"AUT",135.903,2.39093,"1992-3"
"16","1992",4,"AUT",102.574,5.87253,"1992-4"
"17","1992",5,"AUT",31.5083,11.7779,"1992-5"
"18","1992",6,"AUT",129.487,14.4263,"1992-6"
"19","1992",7,"AUT",96.4036,17.0369,"1992-7"
"20","1992",8,"AUT",90.6868,18.8892,"1992-8"
"21","1992",9,"AUT",93.7351,12.7101,"1992-9"
"22","1992",10,"AUT",154.119,6.08418,"1992-10"
"23","1992",11,"AUT",139.634,3.09895,"1992-11"
"24","1992",12,"AUT",99.0733,-1.6953,"1992-12"
"25","1993",1,"AUT",47.6063,-0.8968,"1993-1"
"26","1993",2,"AUT",28.4303,-2.7807,"1993-2"
"27","1993",3,"AUT",61.2642,0.82373,"1993-3"
"28","1993",4,"AUT",60.723,7.15322,"1993-4"
"29","1993",5,"AUT",59.2885,12.9285,"1993-5"
"30","1993",6,"AUT",128.287,14.3665,"1993-6"
"31","1993",7,"AUT",174.075,14.7959,"1993-7"
"32","1993",8,"AUT",123.147,15.9875,"1993-8"
"33","1993",9,"AUT",104.412,11.5705,"1993-9"
"34","1993",10,"AUT",154.736,8.02078,"1993-10"
"35","1993",11,"AUT",60.7441,-0.3424,"1993-11"
"36","1993",12,"AUT",98.8571,-0.5236,"1993-12"
"37","1994",1,"AUT",71.9594,0.03253,"1994-1"
"38","1994",2,"AUT",29.3977,-1.4663,"1994-2"
"39","1994",3,"AUT",65.8612,5.47174,"1994-3"
"40","1994",4,"AUT",147.979,5.59916,"1994-4"
"41","1994",5,"AUT",109.646,11.059,"1994-5"
"42","1994",6,"AUT",99.3388,14.4934,"1994-6"
"43","1994",7,"AUT",86.3991,18.5854,"1994-7"
"44","1994",8,"AUT",133.369,17.5605,"1994-8"
"45","1994",9,"AUT",98.8464,13.2993,"1994-9"
"46","1994",10,"AUT",84.7455,6.4207,"1994-10"
"47","1994",11,"AUT",85.1017,4.94422,"1994-11"
"48","1994",12,"AUT",79.8182,-0.2827,"1994-12"
"49","1995",1,"AUT",83.725,-3.3684,"1995-1"
"50","1995",2,"AUT",77.5543,1.77222,"1995-2"
"51","1995",3,"AUT",107.02,0.79815,"1995-3"
"52","1995",4,"AUT",96.4306,6.598,"1995-4"
"53","1995",5,"AUT",98.7617,10.6428,"1995-5"
"54","1995",6,"AUT",172.713,12.5158,"1995-6"
